"genus","length","age","environment","n"
"Echinopora",8,"Last Interglacial","Reef slope",276
"Porites",4,"Last Interglacial","Reef slope",1422
"Favites",23,"Last Interglacial","Reef slope",116
"Porites",13,"Last Interglacial","Reef slope",1422
"Porites",348,"Last Interglacial","Reef slope",1422
"Echinopora",6,"Last Interglacial","Reef slope",276
"Porites",41,"Last Interglacial","Reef slope",1422
"Platygyra",45,"Last Interglacial","Reef slope",142
"Porites",10,"Last Interglacial","Reef slope",1422
"Porites",10,"Last Interglacial","Reef slope",1422
"Dipsastraea",5,"Last Interglacial","Reef slope",92
"Cyphastrea",17,"Last Interglacial","Reef slope",76
"Platygyra",35,"Last Interglacial","Reef slope",142
"Goniastrea",25,"Last Interglacial","Reef slope",338
"Goniastrea",32,"Last Interglacial","Reef slope",338
"Goniastrea",10,"Last Interglacial","Reef slope",338
"Goniastrea",10,"Last Interglacial","Reef slope",338
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Echinopora",15,"Last Interglacial","Reef slope",276
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Goniastrea",12,"Last Interglacial","Reef slope",338
"Echinopora",25,"Last Interglacial","Reef slope",276
"Galaxea",15,"Last Interglacial","Reef slope",274
"Porites",10,"Last Interglacial","Reef slope",1422
"Galaxea",5,"Last Interglacial","Reef slope",274
"Echinopora",23,"Last Interglacial","Reef slope",276
"Porites",31,"Last Interglacial","Reef slope",1422
"Porites",14,"Last Interglacial","Reef slope",1422
"Porites",29,"Last Interglacial","Reef slope",1422
"Porites",50,"Last Interglacial","Reef slope",1422
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Porites",46,"Last Interglacial","Reef slope",1422
"Porites",47,"Last Interglacial","Reef slope",1422
"Pavona",15,"Last Interglacial","Reef slope",36
"Echinopora",15,"Last Interglacial","Reef slope",276
"Porites",22,"Last Interglacial","Reef slope",1422
"Goniastrea",27,"Last Interglacial","Reef slope",338
"Porites",70,"Last Interglacial","Reef slope",1422
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Porites",6,"Last Interglacial","Reef slope",1422
"Goniastrea",21,"Last Interglacial","Reef slope",338
"Porites",10,"Last Interglacial","Reef slope",1422
"Goniastrea",20,"Last Interglacial","Reef slope",338
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",45,"Last Interglacial","Reef slope",1422
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Porites",42,"Last Interglacial","Reef slope",1422
"Favites",14,"Last Interglacial","Reef slope",116
"Porites",20,"Last Interglacial","Reef slope",1422
"Platygyra",11,"Last Interglacial","Reef slope",142
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Goniastrea",28,"Last Interglacial","Reef slope",338
"Porites",18,"Last Interglacial","Reef slope",1422
"Porites",16,"Last Interglacial","Reef slope",1422
"Porites",84,"Last Interglacial","Reef slope",1422
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Porites",30,"Last Interglacial","Reef slope",1422
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Porites",10,"Last Interglacial","Reef slope",1422
"Platygyra",17,"Last Interglacial","Reef slope",142
"Goniastrea",3,"Last Interglacial","Reef slope",338
"Porites",9,"Last Interglacial","Reef slope",1422
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Porites",33,"Last Interglacial","Reef slope",1422
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Porites",22,"Last Interglacial","Reef slope",1422
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Porites",45,"Last Interglacial","Reef slope",1422
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Goniastrea",8,"Last Interglacial","Reef slope",338
"Goniastrea",23,"Last Interglacial","Reef slope",338
"Echinopora",5,"Last Interglacial","Reef slope",276
"Goniastrea",32,"Last Interglacial","Reef slope",338
"Goniastrea",28,"Last Interglacial","Reef slope",338
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Echinopora",16,"Last Interglacial","Reef slope",276
"Porites",17,"Last Interglacial","Reef slope",1422
"Echinopora",8,"Last Interglacial","Reef slope",276
"Porites",20,"Last Interglacial","Reef slope",1422
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Goniastrea",14,"Last Interglacial","Reef slope",338
"Porites",14,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Goniastrea",28,"Last Interglacial","Reef slope",338
"Platygyra",14,"Last Interglacial","Reef slope",142
"Goniastrea",42,"Last Interglacial","Reef slope",338
"Echinopora",12,"Last Interglacial","Reef slope",276
"Goniastrea",39,"Last Interglacial","Reef slope",338
"Porites",27,"Last Interglacial","Reef slope",1422
"Porites",27,"Last Interglacial","Reef slope",1422
"Echinopora",18,"Last Interglacial","Reef slope",276
"Porites",8,"Last Interglacial","Reef slope",1422
"Goniastrea",6,"Last Interglacial","Reef slope",338
"Goniastrea",68,"Last Interglacial","Reef slope",338
"Porites",15,"Last Interglacial","Reef slope",1422
"Echinopora",19,"Last Interglacial","Reef slope",276
"Goniastrea",7,"Last Interglacial","Reef slope",338
"Goniastrea",27,"Last Interglacial","Reef slope",338
"Platygyra",8,"Last Interglacial","Reef slope",142
"Acropora",6,"Last Interglacial","Reef slope",302
"Porites",9,"Last Interglacial","Reef slope",1422
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Galaxea",13,"Last Interglacial","Reef slope",274
"Pocillopora",26,"Last Interglacial","Reef slope",340
"Pocillopora",5,"Last Interglacial","Reef slope",340
"Goniastrea",4,"Last Interglacial","Reef slope",338
"Goniastrea",5,"Last Interglacial","Reef slope",338
"Pocillopora",4,"Last Interglacial","Reef slope",340
"Goniastrea",15,"Last Interglacial","Reef slope",338
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Cyphastrea",3,"Last Interglacial","Reef slope",76
"Pocillopora",11,"Last Interglacial","Reef slope",340
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Favites",5,"Last Interglacial","Reef slope",116
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Porites",10,"Last Interglacial","Reef slope",1422
"Favites",10,"Last Interglacial","Reef slope",116
"Favites",9,"Last Interglacial","Reef slope",116
"Favites",19,"Last Interglacial","Reef slope",116
"Pocillopora",11,"Last Interglacial","Reef slope",340
"Galaxea",13,"Last Interglacial","Reef slope",274
"Galaxea",6,"Last Interglacial","Reef slope",274
"Goniastrea",27,"Last Interglacial","Reef slope",338
"Acropora",12,"Last Interglacial","Reef slope",302
"Dipsastraea",7,"Last Interglacial","Reef slope",92
"Platygyra",17,"Last Interglacial","Reef slope",142
"Favites",6,"Last Interglacial","Reef slope",116
"Platygyra",2,"Last Interglacial","Reef slope",142
"Porites",7,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Platygyra",10,"Last Interglacial","Reef slope",142
"Pocillopora",28,"Last Interglacial","Reef slope",340
"Porites",12,"Last Interglacial","Reef slope",1422
"Porites",3,"Last Interglacial","Reef slope",1422
"Acropora",3,"Last Interglacial","Reef slope",302
"Porites",9,"Last Interglacial","Reef slope",1422
"Porites",2,"Last Interglacial","Reef slope",1422
"Dipsastraea",15,"Last Interglacial","Reef slope",92
"Pocillopora",6,"Last Interglacial","Reef slope",340
"Cyphastrea",5,"Last Interglacial","Reef slope",76
"Pocillopora",6,"Last Interglacial","Reef slope",340
"Pocillopora",20,"Last Interglacial","Reef slope",340
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Galaxea",13,"Last Interglacial","Reef slope",274
"Acropora",6,"Last Interglacial","Reef slope",302
"Acropora",2,"Last Interglacial","Reef slope",302
"Dipsastraea",5,"Last Interglacial","Reef slope",92
"Galaxea",15,"Last Interglacial","Reef slope",274
"Pocillopora",18,"Last Interglacial","Reef slope",340
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Acropora",6,"Last Interglacial","Reef slope",302
"Galaxea",8,"Last Interglacial","Reef slope",274
"Porites",14,"Last Interglacial","Reef slope",1422
"Pocillopora",16,"Last Interglacial","Reef slope",340
"Porites",5,"Last Interglacial","Reef slope",1422
"Porites",5,"Last Interglacial","Reef slope",1422
"Pocillopora",5,"Last Interglacial","Reef slope",340
"Platygyra",8,"Last Interglacial","Reef slope",142
"Pocillopora",3,"Last Interglacial","Reef slope",340
"Porites",12,"Last Interglacial","Reef slope",1422
"Pocillopora",8,"Last Interglacial","Reef slope",340
"Pocillopora",16,"Last Interglacial","Reef slope",340
"Porites",9,"Last Interglacial","Reef slope",1422
"Pocillopora",5,"Last Interglacial","Reef slope",340
"Platygyra",8,"Last Interglacial","Reef slope",142
"Acropora",11,"Last Interglacial","Reef slope",302
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Pocillopora",10,"Last Interglacial","Reef slope",340
"Porites",19,"Last Interglacial","Reef slope",1422
"Porites",17,"Last Interglacial","Reef slope",1422
"Galaxea",6,"Last Interglacial","Reef slope",274
"Porites",5,"Last Interglacial","Reef slope",1422
"Cyphastrea",5,"Last Interglacial","Reef slope",76
"Porites",17,"Last Interglacial","Reef slope",1422
"Porites",14,"Last Interglacial","Reef slope",1422
"Porites",41,"Last Interglacial","Reef slope",1422
"Porites",12,"Last Interglacial","Reef slope",1422
"Porites",32,"Last Interglacial","Reef slope",1422
"Porites",19,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Galaxea",7,"Last Interglacial","Reef slope",274
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Porites",11,"Last Interglacial","Reef slope",1422
"Favites",22,"Last Interglacial","Reef slope",116
"Galaxea",5,"Last Interglacial","Reef slope",274
"Acropora",5,"Last Interglacial","Reef slope",302
"Acropora",5,"Last Interglacial","Reef slope",302
"Pocillopora",18,"Last Interglacial","Reef slope",340
"Pocillopora",15,"Last Interglacial","Reef slope",340
"Porites",10,"Last Interglacial","Reef slope",1422
"Goniastrea",9,"Last Interglacial","Reef slope",338
"Platygyra",7,"Last Interglacial","Reef slope",142
"Pocillopora",10,"Last Interglacial","Reef slope",340
"Echinopora",10,"Last Interglacial","Reef slope",276
"Galaxea",5,"Last Interglacial","Reef slope",274
"Acropora",4,"Last Interglacial","Reef slope",302
"Pocillopora",6,"Last Interglacial","Reef slope",340
"Acropora",13,"Last Interglacial","Reef slope",302
"Galaxea",8,"Last Interglacial","Reef slope",274
"Acropora",9,"Last Interglacial","Reef slope",302
"Galaxea",5,"Last Interglacial","Reef slope",274
"Galaxea",15,"Last Interglacial","Reef slope",274
"Galaxea",2,"Last Interglacial","Reef slope",274
"Acropora",8,"Last Interglacial","Reef slope",302
"Fungia",2,"Last Interglacial","Reef slope",34
"Pocillopora",5,"Last Interglacial","Reef slope",340
"Platygyra",58,"Last Interglacial","Reef slope",142
"Favites",56,"Last Interglacial","Reef slope",116
"Favites",70,"Last Interglacial","Reef slope",116
"Porites",5,"Last Interglacial","Reef slope",1422
"Acropora",5,"Last Interglacial","Reef slope",302
"Galaxea",15,"Last Interglacial","Reef slope",274
"Favites",11,"Last Interglacial","Reef slope",116
"Galaxea",12,"Last Interglacial","Reef slope",274
"Pavona",5,"Last Interglacial","Reef slope",36
"Lobophyllia",17,"Last Interglacial","Reef slope",62
"Cyphastrea",6,"Last Interglacial","Reef slope",76
"Acropora",6,"Last Interglacial","Reef slope",302
"Galaxea",49,"Last Interglacial","Reef slope",274
"Platygyra",17,"Last Interglacial","Reef slope",142
"Acropora",9,"Last Interglacial","Reef slope",302
"Acropora",8,"Last Interglacial","Reef slope",302
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Dipsastraea",11,"Last Interglacial","Reef slope",92
"Porites",13,"Last Interglacial","Reef slope",1422
"Porites",11,"Last Interglacial","Reef slope",1422
"Platygyra",22,"Last Interglacial","Reef slope",142
"Acropora",18,"Last Interglacial","Reef slope",302
"Goniastrea",1,"Last Interglacial","Reef slope",338
"Pavona",12,"Last Interglacial","Reef slope",36
"Platygyra",11,"Last Interglacial","Reef slope",142
"Galaxea",20,"Last Interglacial","Reef slope",274
"Galaxea",15,"Last Interglacial","Reef slope",274
"Platygyra",10,"Last Interglacial","Reef slope",142
"Acropora",9,"Last Interglacial","Reef slope",302
"Acropora",10,"Last Interglacial","Reef slope",302
"Galaxea",6,"Last Interglacial","Reef slope",274
"Galaxea",4,"Last Interglacial","Reef slope",274
"Porites",8,"Last Interglacial","Reef slope",1422
"Acropora",16,"Last Interglacial","Reef slope",302
"Porites",5,"Last Interglacial","Reef slope",1422
"Pavona",10,"Last Interglacial","Reef slope",36
"Pocillopora",23,"Last Interglacial","Reef slope",340
"Galaxea",17,"Last Interglacial","Reef slope",274
"Cyphastrea",24,"Last Interglacial","Reef slope",76
"Favites",12,"Last Interglacial","Reef slope",116
"Galaxea",187,"Last Interglacial","Reef slope",274
"Acropora",10,"Last Interglacial","Reef slope",302
"Porites",32,"Last Interglacial","Reef slope",1422
"Goniastrea",17,"Last Interglacial","Reef slope",338
"Porites",8,"Last Interglacial","Reef slope",1422
"Porites",33,"Last Interglacial","Reef slope",1422
"Galaxea",5,"Last Interglacial","Reef slope",274
"Porites",55,"Last Interglacial","Reef slope",1422
"Echinopora",9,"Last Interglacial","Reef slope",276
"Porites",6,"Last Interglacial","Reef slope",1422
"Galaxea",7,"Last Interglacial","Reef slope",274
"Galaxea",12,"Last Interglacial","Reef slope",274
"Porites",23,"Last Interglacial","Reef slope",1422
"Porites",16,"Last Interglacial","Reef slope",1422
"Porites",31,"Last Interglacial","Reef slope",1422
"Porites",9,"Last Interglacial","Reef slope",1422
"Porites",2,"Last Interglacial","Reef slope",1422
"Porites",20,"Last Interglacial","Reef slope",1422
"Porites",19,"Last Interglacial","Reef slope",1422
"Porites",56,"Last Interglacial","Reef slope",1422
"Porites",18,"Last Interglacial","Reef slope",1422
"Cyphastrea",4,"Last Interglacial","Reef slope",76
"Porites",26,"Last Interglacial","Reef slope",1422
"Porites",134,"Last Interglacial","Reef slope",1422
"Porites",83,"Last Interglacial","Reef slope",1422
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Pocillopora",31,"Last Interglacial","Reef slope",340
"Porites",14,"Last Interglacial","Reef slope",1422
"Favites",7,"Last Interglacial","Reef slope",116
"Goniastrea",4,"Last Interglacial","Reef slope",338
"Dipsastraea",30,"Last Interglacial","Reef slope",92
"Porites",5,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Galaxea",13,"Last Interglacial","Reef slope",274
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",24,"Last Interglacial","Reef slope",1422
"Porites",13,"Last Interglacial","Reef slope",1422
"Porites",10,"Last Interglacial","Reef slope",1422
"Porites",9,"Last Interglacial","Reef slope",1422
"Galaxea",9,"Last Interglacial","Reef slope",274
"Porites",13,"Last Interglacial","Reef slope",1422
"Galaxea",4,"Last Interglacial","Reef slope",274
"Galaxea",6,"Last Interglacial","Reef slope",274
"Galaxea",24,"Last Interglacial","Reef slope",274
"Porites",18,"Last Interglacial","Reef slope",1422
"Porites",29,"Last Interglacial","Reef slope",1422
"Porites",7,"Last Interglacial","Reef slope",1422
"Favites",9,"Last Interglacial","Reef slope",116
"Galaxea",21,"Last Interglacial","Reef slope",274
"Porites",19,"Last Interglacial","Reef slope",1422
"Goniastrea",13,"Last Interglacial","Reef slope",338
"Porites",19,"Last Interglacial","Reef slope",1422
"Dipsastraea",11,"Last Interglacial","Reef slope",92
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",16,"Last Interglacial","Reef slope",1422
"Porites",11,"Last Interglacial","Reef slope",1422
"Galaxea",12,"Last Interglacial","Reef slope",274
"Galaxea",13,"Last Interglacial","Reef slope",274
"Pocillopora",21,"Last Interglacial","Reef slope",340
"Dipsastraea",13,"Last Interglacial","Reef slope",92
"Porites",28,"Last Interglacial","Reef slope",1422
"Galaxea",8,"Last Interglacial","Reef slope",274
"Porites",4,"Last Interglacial","Reef slope",1422
"Montipora",39,"Last Interglacial","Reef slope",32
"Platygyra",68,"Last Interglacial","Reef slope",142
"Pocillopora",13,"Last Interglacial","Reef slope",340
"Pocillopora",3,"Last Interglacial","Reef slope",340
"Porites",30,"Last Interglacial","Reef slope",1422
"Porites",6,"Last Interglacial","Reef slope",1422
"Porites",4,"Last Interglacial","Reef slope",1422
"Porites",42,"Last Interglacial","Reef slope",1422
"Pocillopora",1,"Last Interglacial","Reef slope",340
"Porites",26,"Last Interglacial","Reef slope",1422
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Porites",12,"Last Interglacial","Reef slope",1422
"Porites",23,"Last Interglacial","Reef slope",1422
"Porites",8,"Last Interglacial","Reef slope",1422
"Echinopora",35,"Last Interglacial","Reef slope",276
"Pocillopora",8,"Last Interglacial","Reef slope",340
"Echinopora",23,"Last Interglacial","Reef slope",276
"Porites",83,"Last Interglacial","Reef slope",1422
"Acropora",11,"Last Interglacial","Reef slope",302
"Porites",16,"Last Interglacial","Reef slope",1422
"Porites",37,"Last Interglacial","Reef slope",1422
"Porites",134,"Last Interglacial","Reef slope",1422
"Galaxea",5,"Last Interglacial","Reef slope",274
"Galaxea",15,"Last Interglacial","Reef slope",274
"Galaxea",7,"Last Interglacial","Reef slope",274
"Porites",14,"Last Interglacial","Reef slope",1422
"Pavona",4,"Last Interglacial","Reef slope",36
"Porites",46,"Last Interglacial","Reef slope",1422
"Galaxea",13,"Last Interglacial","Reef slope",274
"Pocillopora",7,"Last Interglacial","Reef slope",340
"Hydnophora",26,"Last Interglacial","Reef slope",22
"Favites",13,"Last Interglacial","Reef slope",116
"Leptoria",24,"Last Interglacial","Reef slope",36
"Pocillopora",14,"Last Interglacial","Reef slope",340
"Porites",8,"Last Interglacial","Reef slope",1422
"Acropora",10,"Last Interglacial","Reef slope",302
"Leptoria",8,"Last Interglacial","Reef slope",36
"Platygyra",9,"Last Interglacial","Reef slope",142
"Acropora",10,"Last Interglacial","Reef slope",302
"Pocillopora",9,"Last Interglacial","Reef slope",340
"Galaxea",13,"Last Interglacial","Reef slope",274
"Dipsastraea",13,"Last Interglacial","Reef slope",92
"Acropora",7,"Last Interglacial","Reef slope",302
"Platygyra",11,"Last Interglacial","Reef slope",142
"Platygyra",24,"Last Interglacial","Reef slope",142
"Favites",19,"Last Interglacial","Reef slope",116
"Platygyra",19,"Last Interglacial","Reef slope",142
"Echinopora",31,"Last Interglacial","Reef slope",276
"Porites",17,"Last Interglacial","Reef slope",1422
"Platygyra",35,"Last Interglacial","Reef slope",142
"Leptoria",20,"Last Interglacial","Reef slope",36
"Platygyra",12,"Last Interglacial","Reef slope",142
"Porites",8,"Last Interglacial","Reef slope",1422
"Echinopora",19,"Last Interglacial","Reef slope",276
"Favites",19,"Last Interglacial","Reef slope",116
"Pocillopora",6,"Last Interglacial","Reef slope",340
"Acropora",7,"Last Interglacial","Reef slope",302
"Favites",57,"Last Interglacial","Reef slope",116
"Galaxea",22,"Last Interglacial","Reef slope",274
"Porites",9,"Last Interglacial","Reef slope",1422
